Corn_Yields,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Avg.
Buena_Vista,180.2,148.2,160.5,172.1,202.7,201.1,187.9,193.1,190.8,184.9,182.2
Cherokee,176.7,158.7,185.1,183.6,209.6,219.7,203.7,213.3,208.9,186.8,194.6
Clay,185.4,170.1,167.2,166.3,202.8,202.0,197.3,158.5,185.5,169.1,180.4
Dickinson,169.3,160.9,162.4,157.9,194.5,188.0,196.2,160.4,170.0,183.2,174.3
Emmet,169.6,166.6,166.4,165.0,203.3,198.5,210.1,155.8,,187.2,180.3
Lyon,185.4,161.6,190.5,172.9,196.0,206.9,218.9,193.0,186.6,198.1,191.0
O'Brien,185.1,159.8,195.3,180.3,205.2,210.7,213.8,201.6,204.9,200.6,195.7
Osceola,184.4,169.6,182.0,175.4,204.7,203.7,211.6,180.2,182.5,186.3,188.0
Palo_Alto,174.6,170.6,168.8,164.6,197.5,196.0,195.4,157.9,198.3,182.1,180.6
Plymouth,164.5,110.1,188.9,187.3,203.6,209.2,193.0,213.8,217.8,,187.6
Pocahontas,181.2,165.3,163.8,174.8,205.5,206.8,190.9,179.2,,187.3,183.9
Sioux,177.6,143.2,194.1,187.4,201.9,212.2,220.7,211.9,192.2,203.0,194.4
Butler,186.7,122.0,179.2,167.7,193.3,207.3,211.4,211.3,209.5,193.9,188.2
Cerro_Gordo,169.3,124.8,163.1,168.3,196.9,193.6,208.9,184.4,191.8,183.6,178.5
Floyd,181.1,123.2,170.0,162.8,196.5,196.3,203.4,184.4,202.9,188.5,180.9
Franklin,189.7,150.0,179.6,165.8,200.2,204.8,206.1,204.3,202.7,181.1,188.4
Hancock,179.8,143.3,169.9,173.9,201.2,200.3,200.2,176.7,193.3,201.2,184.0
Humboldt,185.5,146.1,155.4,176.9,194.8,206.1,200.9,162.3,198.7,189.5,181.6
Kossuth,179.9,164.6,167.7,176.6,199.0,204.7,205.6,180.2,198.7,191.5,186.9
Mitchell,180.1,131.4,164.1,175.1,202.1,199.1,213.4,193.3,194.5,204.5,185.8
Winnebago,176.6,161.1,149.1,172.7,203.6,197.9,210.7,180.8,198.8,208.3,186.0
Worth,173.0,143.1,150.7,181.5,202.1,191.5,198.5,180.0,196.5,206.9,182.4
Wright,189.9,153.7,168.8,169.4,198.4,200.2,206.9,180.5,197.0,187.1,185.2
Allamakee,173.3,153.6,162.1,175.6,175.4,205.1,190.5,198.4,187.2,197.4,181.9
Black_Hawk,186.1,126.4,166.1,165.2,192.9,206.4,209.2,206.2,205.1,170.8,183.4
